"","Sex","Hghst_Grde_Moth","Hghst_Grde_Fath","GPA","CogAbilityRank","Total_Enrlmnt","Num_Bks_Lib","Pct_Disadv","Pct_Attnd","Pct_Dropout","Pct_Stdnt_Female","Pct_Fac_Female","Num_FT_Couns","Num_FT_Fac","Pct_FT_Fac_GrdDeg","Headstart","ClassRankPercentile","Marital_Status","Num_Kids_HH","Self_Inc_2009","Hghst_Deg_Obt"
"3951","1",11,7,2.38461538461538,12,1650,5000,20,92,7,55,60,4,93,65,"1",48.8095238095238,"0",0,55000,"3"
"3966","1",14,12,2.57142857142857,30,1102,11665,40,91,15,50,65,3,65,26,"0",92,"1",0,60000,"3"
"4017","0",14,12,3.4,51.5,2699,32643,4,91,9,49,60,5,106,60,"0",74.7330960854092,"1",2,106000,"2"
"4078","0",12,12,3.38235294117647,36,2075,13000,37,98,25,51,39,5,77,34,"0",92.874109263658,"1",3,134000,"1"
"4155","1",12,14,2.52380952380952,46,2250,15000,60,90,30,40,35,5,79,20,"0",42.9878048780488,"0",0,62000,"1"
"4163","0",12,12,2.6875,1,2320,16000,5,88,20,48,35,6,95,45,"0",44,"1",3,10000,"4"
"4205","0",6,3,1.82142857142857,61,135,3000,35,94,8,44,50,1,17,30,"1",10,"1",1,26436,"1"
"4209","1",6,6,3.12903225806452,7,2361,22000,35,94,12,48,33,5,111,74,"0",83.3679833679834,"1",3,72000,"3"
"4220","1",4,4,2.76190476190476,54,1921,16593,30,94,33,50,50,4,92,55,"0",58.6092715231788,"1",2,50000,"3"
"4225","1",0,6,2.2962962962963,13,2361,22000,35,94,12,48,33,5,111,74,"0",26.5033407572383,"1",3,30000,"1"
"4233","0",12,8,3.04545454545455,1,320,3500,45,92,2,52,50,2,56,30,"0",49.1803278688525,"1",3,57000,"3"
"4244","1",16,17,3.26923076923077,65,1410,14100,5,94,10,49,52,3,68,50,"0",94.3243243243243,"1",2,72000,"1"
"4355","1",11,8,1.41176470588235,20,1428,16422,10,91,2,47,25,4,84,21,"0",17.7966101694915,"1",3,40000,"2"
"4356","1",11,8,2.42105263157895,10,600,13200,4,96,10,48,20,1,32,70,"0",33.8028169014084,"1",1,50000,"1"
"4357","1",18,18,3.25,45,306,9719,10,95,1,56,45,1,25,33,"0",47.6744186046512,"0",0,0,"1"
"4413","0",10,11,2.56666666666667,10,1851,23000,25,92,17,50,45,5,87,30,"0",44.2592592592593,"1",0,26000,"1"
"4416","1",8,5,2.35483870967742,50,1851,23000,25,92,17,50,45,5,87,30,"1",25.7874015748031,"0",0,400,"2"
"4418","0",4,5,2.64,20,1596,11000,64,94,17,51,47,5,83,52,"0",33.9869281045752,"1",0,16100,"1"
